,inertie
0,6.333310877739875
1,4.492455537779415
2,4.120322938933197
3,3.058911012232614
4,2.6838576573812287
5,2.5612450441246026
6,2.173614643732381
7,2.121586314349712
8,1.895770087688051
9,1.7326643845704623
10,1.6459162875638684
11,1.4914834642181707
12,1.3584328732743347
13,1.2643771512881659
14,1.1467808031826177
15,1.1360849659483074
16,1.0747289405787936
17,1.0854209478029138
18,1.0384198879656454
19,0.9629753732104457
20,0.9497864447984714
21,0.9228363235383878
22,0.8829832996087787
23,0.863816719342521
24,0.85705695900484
25,0.8350548726401329
26,0.8121436586536707
27,0.8045779869138132
28,0.7898401292096078
29,0.7626955622339538
30,0.7465519491166077
31,0.7383536004641313
32,0.7245752619225004
33,0.7159882260552698
34,0.7087841700482921
35,0.6928469736970431
36,0.6875944474869563
37,0.6738185185744796
38,0.6636019100472198
39,0.6374565938995371
40,0.6443264291405677
41,0.6491850936733541
42,0.615800093087213
43,0.6200093293711127
44,0.6056517612388654
45,0.5999865717378088
46,0.5911229122650274
47,0.5763549116502955
48,0.5850145630458004
49,0.5816395978029177
50,0.5651942854804544
51,0.5574297766212976
52,0.549270341065948
53,0.5340525736707179
54,0.528950631664923
55,0.5201239673032911
56,0.5082420339787188
57,0.5161735737739175
58,0.511973601431232
59,0.4884610892990625
60,0.477876142953697
61,0.4719572376365038
62,0.4732073208844916
63,0.4630305272904716
64,0.457644240050776
65,0.45301998995827053
66,0.4483352067012286
67,0.4390639840056275
68,0.42035835435064656
69,0.4292475104416258
70,0.4293346026018798
71,0.4184653342755562
72,0.4092979014923479
73,0.4050760204018785
74,0.4066630283605415
75,0.39670470778252964
76,0.3982815061828393
77,0.38410936413183433
78,0.3777760169762477
79,0.3922124047996846
80,0.36629674959562536
81,0.36892864132473313
82,0.36043446331192214
83,0.35757522215381304
84,0.3506067986735636
85,0.3479196868744781
86,0.34204295643222304
87,0.333649195113317
88,0.3261830760255728
89,0.32203526225228796
90,0.31743658628689947
91,0.31235423462906375
92,0.3103298941692038
93,0.3035122651988921
94,0.29250633347314314
95,0.29765575339044853
96,0.29977077434385774
97,0.22961471874550665
98,0.23083659008439542
99,0.2848658936925129
100,0.27506757738066767
101,0.2778303666678115
102,0.23891302804107414
103,0.2835438867425222
104,0.26961343146211675
105,0.23827738723344988
106,0.2519985788829386
107,0.26362351792487854
108,0.2570910668339873
109,0.24845203353247813
110,0.2562117186713678
111,0.2531864961509081
112,0.27891120821149135
113,0.2250329026486807
114,0.22005630547467547
115,0.21425158380469295
116,0.2161042431297125
117,0.2156721564501013
118,0.2062911175298949
119,0.20381120997346072
120,0.20235220306307858
121,0.20164145046946372
122,0.19580085047914225
123,0.19422956197929567
124,0.1876049777263746
125,0.18236181652864583
126,0.1857860059692988
127,0.18104530391939053
128,0.1774846159964144
129,0.17339141785010667
130,0.17095311622593906
131,0.16618197626898257
132,0.16295298946348885
133,0.16021106465481805
134,0.15848620533908883
135,0.1546231480639516
136,0.15195797230343305
137,0.1492401767789213
138,0.14652697584168198
139,0.14489329095159129
140,0.14395315055221763
141,0.14197329634324768
142,0.14092647602245872
143,0.13577582639296926
144,0.13185256709072551
145,0.13338847309241292
146,0.1294151932423933
147,0.1269162069077626
148,0.12336068823839784
149,0.12435390943677807
150,0.11540740128553051
151,0.11898174190662907
152,0.11966907249177484
153,0.11350437538035459
154,0.1119088626069372
155,0.10894058408903114
156,0.10834251704980036
157,0.10542734031547162
158,0.10335579422327218
159,0.10234677753771367
160,0.09999867597099378
161,0.09948425019313692
162,0.0885768508207232
163,0.09075152505666441
164,0.09636073153134093
165,0.09581476538479489
166,0.09385379032289852
167,0.09352244046327872
168,0.0853705238668664
169,0.08226345692533507
170,0.08676572540181746
171,0.07899400464415193
172,0.08055048790434553
173,0.07642704002670753
174,0.07284514841742301
175,0.0750038008952277
176,0.07513112362278739
177,0.07095637976942419
178,0.07003326331485905
179,0.06925694062316926
180,0.06626847226022735
181,0.0668994819505325
182,0.06336391478310147
183,0.06401821928920838
184,0.06523277302034679
185,0.05995993201341071
186,0.057101264160744555
187,0.05801492550835186
188,0.06118972304349203
189,0.061458317579672926
190,0.052854605588197864
191,0.047998151521362754
192,0.05224894439693756
193,0.05108467973921158
194,0.05078798298100584
195,0.04712771207793101
196,0.021058407269246987
197,0.046299056819552695
198,0.02214984637665455
199,0.022373104581919503
200,0.044499781611785694
201,0.04360320901582295
202,0.02322629731478798
203,0.04252605768433817
204,0.04403511413861083
205,0.041908482652926134
206,0.02415544943935197
207,0.024874802260860716
208,0.04056640646089358
209,0.03798000189378332
210,0.039414608255916604
211,0.039075330712597056
212,0.02610350655106066
213,0.02630926651817966
214,0.0365369910209607
215,0.027408646990498744
216,0.026741377528321578
217,0.028827368658021137
218,0.036203520674881175
219,0.03032294413712434
220,0.03114910132865984
221,0.029183052675429793
222,0.03082958659267579
223,0.03292619809032755
224,0.034747763563160186
225,0.03458388129605484
226,0.03414340557648134
227,0.016095985232981055
228,0.016255823959670422
229,0.017853646084287928
230,0.01837381617375929
231,0.020248604237360676
232,0.016876487199784754
233,0.01913079414905974
234,0.020650229975465208
235,0.019780061677315112
236,0.015538450799388983
237,0.011834838382164438
238,0.012449901835610774
239,0.013387509427938302
240,0.013000339992235098
241,0.01510398111685928
242,0.014636649837032637
243,0.010811108031090103
244,0.01107708857561757
245,0.014733067114092875
246,0.009318619936654466
247,0.009414921821627613
248,0.009885776038633302
249,0.01008884483350488
250,0.010331247858709126
251,0.008610170073503108
252,0.008286590206428949
253,0.007937181580939272
254,0.007712610831074896
255,0.007342741558281885
256,0.007021789086105234
257,0.006388893996048327
258,0.0065723834686478395
259,0.006059464831646814
260,0.0057551596029854594
261,0.005530331311160451
262,0.004995983004115239
263,0.004735934266257887
264,0.004534769762604479
265,0.004049261375874556
266,0.0039048264135912412
267,0.003679652769095923
268,0.0035272594078295727
269,0.0033585911210425234
270,0.003168527301941406
271,0.002961031274479548
272,0.0026709267641198287
273,0.0025264302660211093
274,0.0021758848878343645
275,0.002024946677197762
276,0.0017515900730417215
277,0.0016543144851658654
278,0.0012884822972607434
279,0.001181909994044842
280,0.0012494396472813006
281,0.0009538538828180258
282,0.000812603110915222
283,0.0008565230947526776
284,0.0004682587896654191
285,0.0004338537818411384
286,0.00023981595366920144
287,-1.3732225145489246e-14
288,-2.9090695865722292e-15
289,3.0785109867298152e-15
290,-2.449740924766804e-15
291,-2.449740924766804e-15
292,2.1283263242702026e-15
293,-2.1138351220074713e-15
294,-1.528805410945035e-15
295,-1.528805410945035e-15
296,-1.807647391785413e-15
297,-1.807647391785413e-15
298,6.280778685417591e-16
299,6.280778685417591e-16
300,1.7467346986648334e-15
301,1.7467346986648334e-15
302,1.791606587546106e-15
303,1.791606587546106e-15
304,-1.7208529173808907e-15
305,-1.7208529173808907e-15
306,-1.3743107909562782e-15
307,-1.3743107909562782e-15
308,-1.3156183574778864e-16
309,-1.3156183574778864e-16
310,3.96861501992064e-16
311,3.96861501992064e-16
312,1.1655530433301968e-15
313,1.1655530433301968e-15
314,9.460240289521707e-16
315,9.460240289521707e-16
316,1.2203713890052435e-15
317,1.2203713890052435e-15
318,1.1395289030310657e-15
319,1.1395289030310657e-15
320,1.3962669349410917e-15
321,1.3962669349410917e-15
322,1.328049847969938e-15
323,1.328049847969938e-15
324,1.3191081289927508e-15
325,9.131730265880467e-16
326,9.131730265880467e-16
327,-4.788342649171519e-16
328,-4.788342649171519e-16
329,-8.194442121057636e-16
330,-8.194442121057636e-16
331,-8.001038116352737e-17
332,-8.001038116352737e-17
333,1.2540533645637067e-16
334,1.2540533645637067e-16
335,-9.96529794089269e-16
336,-9.96529794089269e-16
337,-1.6554419061418332e-15
338,-1.57538166005516e-15
339,-1.5002422106275636e-15
340,-1.5002422106275636e-15
341,-1.4101224659111234e-15
342,-1.4101224659111234e-15
343,-1.3719059383962933e-15
344,-1.3719059383962933e-15
345,-8.272868764106495e-16
346,-8.272868764106495e-16
347,-3.578344449831266e-16
348,-3.578344449831266e-16
349,3.4134719486008465e-16
350,3.4134719486008465e-16
351,9.506936949458688e-16
352,9.506936949458688e-16
353,1.0360449433318097e-15
354,1.0360449433318097e-15
355,1.0041363845726151e-15
356,1.0041363845726151e-15
357,4.1900206071199467e-16
358,4.1900206071199467e-16
359,7.260478518755696e-16
360,7.260478518755696e-16
361,4.930675444483397e-16
362,4.930675444483397e-16
363,6.587529231503387e-16
364,6.587529231503387e-16
365,7.377874228395624e-16
366,7.377874228395624e-16
367,-2.461467663991261e-17
368,-2.461467663991261e-17
369,-4.555032227506254e-16
370,-4.555032227506254e-16
371,-5.668929311214753e-16
372,-5.668929311214753e-16
373,-1.2375583452613082e-15
374,-1.0763584394983903e-15
375,-1.0763584394983903e-15
376,-1.2233827174477408e-15
377,-1.2233827174477408e-15
378,-1.19953854609604e-15
379,-1.19953854609604e-15
380,-9.088621039976812e-16
381,-9.088621039976812e-16
382,3.833515687328329e-17
383,3.833515687328329e-17
384,1.0236508894732633e-16
385,1.0236508894732633e-16
386,-1.1306461900366054e-15
387,-1.1306461900366054e-15
388,-5.669288401640994e-16
389,-5.669288401640994e-16
390,-9.282749154657645e-16
391,-9.282749154657645e-16
392,-7.619547338646396e-16
393,-7.619547338646396e-16
394,-8.579763302087743e-16
395,-8.579763302087743e-16
396,-3.4461474847925133e-16
397,-3.4461474847925133e-16
398,-9.267267142085094e-17
399,-9.267267142085094e-17
400,-9.702950191486366e-16
401,-9.702950191486366e-16
402,4.0046252682965656e-16
403,4.0046252682965656e-16
404,7.902690576653657e-16
405,7.902690576653657e-16
406,6.828690688337532e-16
407,6.828690688337532e-16
408,2.747929145578499e-16
409,2.747929145578499e-16
410,7.185687167763403e-16
411,7.185687167763403e-16
412,8.950424611542893e-16
413,8.950424611542893e-16
414,8.784067052408579e-17
415,8.784067052408579e-17
416,-8.638852817309549e-16
417,-8.638852817309549e-16
418,-9.948022638393063e-16
419,-6.80321958616622e-16
420,-6.80321958616622e-16
421,-5.590175607549428e-16
422,-5.590175607549428e-16
423,-9.239531928255607e-16
424,-9.239531928255607e-16
425,8.625893626502563e-16
426,8.625893626502563e-16
427,8.394058088260025e-16
428,6.469764976596646e-16
429,6.469764976596646e-16
430,-6.649986302763211e-16
431,-6.649986302763211e-16
432,6.688434967047276e-16
433,6.688434967047276e-16
434,4.2965875512278925e-16
435,4.2965875512278925e-16
436,3.3442256148968893e-16
437,3.3442256148968893e-16
438,-1.741083662200299e-16
439,-1.741083662200299e-16
440,-3.773223820889684e-16
441,-3.773223820889684e-16
442,-6.746146759300157e-16
443,-6.746146759300157e-16
444,2.0975873460277845e-16
445,2.0975873460277845e-16
446,-8.621748399115232e-16
447,-8.621748399115232e-16
448,-4.2802787487048557e-16
449,-4.2802787487048557e-16
450,-7.399522462944917e-16
451,-7.399522462944917e-16
452,-2.9146466840186377e-19
453,-2.9146466840186377e-19
454,-4.762584116124798e-16
455,-4.762584116124798e-16
456,-6.750747795613569e-16
457,-6.750747795613569e-16
458,-7.377410235662267e-16
459,-7.377410235662267e-16
460,-7.296597882087399e-16
461,-6.996421191389004e-16
462,6.639341434419939e-16
463,6.639341434419939e-16
464,5.798979836246137e-16
465,5.798979836246137e-16
466,1.066672418319425e-16
467,1.066672418319425e-16
468,-5.845889401880716e-17
469,-5.845889401880716e-17
470,-2.3107157011006763e-16
471,-2.3107157011006763e-16
472,4.3884749311096876e-16
473,4.3884749311096876e-16
474,6.437774302736816e-16
475,-6.595031639873925e-16
476,-6.595031639873925e-16
477,-5.56021955229833e-16
478,-5.56021955229833e-16
479,-6.055148332342046e-16
480,-6.055148332342046e-16
481,2.5381340009226927e-16
482,2.5381340009226927e-16
483,4.913787218562096e-16
484,4.913787218562096e-16
485,1.1715083036195344e-17
486,1.1715083036195344e-17
487,-4.438656792394589e-16
488,-4.438656792394589e-16
489,3.65563822289686e-16
490,3.65563822289686e-16
491,-1.2805454619013714e-16
492,-1.2805454619013714e-16
493,4.470598465514035e-16
494,4.470598465514035e-16
495,-3.106837835845276e-16
496,-3.106837835845276e-16
497,5.365932935858718e-16
498,5.365932935858718e-16
499,-3.964335223613555e-16
500,-3.964335223613555e-16
501,-4.843200292953769e-16
502,-4.752640455542596e-16
503,-4.752640455542596e-16
504,2.930783644817183e-16
505,2.930783644817183e-16
506,-5.595633568648741e-17
507,-5.595633568648741e-17
508,1.772212406244881e-16
509,1.772212406244881e-16
510,3.0913129940337327e-16
511,3.0913129940337327e-16
512,1.1078950305806654e-16
513,1.1078950305806654e-16
514,3.5891938141336785e-16
515,3.5891938141336785e-16
516,-2.3650544651139237e-16
517,-2.3650544651139237e-16
518,-3.5662642006235856e-16
519,-3.5662642006235856e-16
520,-3.7581059984503363e-16
521,-2.9661727854683476e-16
522,-2.9661727854683476e-16
523,-7.227847265862837e-17
524,-7.227847265862837e-17
525,-4.0058873878535175e-17
526,-4.0058873878535175e-17
527,1.483417713778359e-16
528,1.483417713778359e-16
529,-4.4567965044146165e-17
530,-4.4567965044146165e-17
531,-1.5684434552895065e-16
532,-1.5684434552895065e-16
533,2.3398956556901756e-16
534,2.3398956556901756e-16
535,-2.4268110249290935e-16
536,-2.4268110249290935e-16
537,8.107354648957904e-17
538,8.107354648957904e-17
539,1.4884945171995404e-16
540,1.4884945171995404e-16
541,-1.5842752037419954e-16
542,-1.5842752037419954e-16
543,-1.588096954781987e-16
544,-1.3798215563205163e-16
545,-1.3798215563205163e-16
546,-6.676770655319142e-17
547,-6.676770655319142e-17
548,4.5644502813852234e-17
549,4.5644502813852234e-17
550,-4.6330588176012236e-18
551,-4.6330588176012236e-18
552,-1.3769839809816594e-18
553,-1.3769839809816594e-18
554,2.816406451190444e-19
555,-1.3812545805332427e-18
